Barcelona,17.96,algo de nubes,2026-03-28 11:16
Bogota,14.77,nubes,2026-03-28 11:19
Medellín,22.62,nubes dispersas,2026-03-28 11:19
Manizales,20.9,nubes dispersas,2026-03-28 11:19
Arrondissement de Clermont,8.8,muy nuboso,2026-03-28 11:19
Buenos Aires,23.99,nubes dispersas,2026-03-28 11:20
Morón,23.98,muy nuboso,2026-03-28 11:20
Seville,23.45,cielo claro,2026-03-28 11:24
Chía,17.33,nubes,2026-03-28 11:28
Cajicá,19.13,nubes,2026-03-28 11:34
Paris,9.89,muy nuboso,2026-03-28 11:35
Chía,15.63,nubes,2026-03-28 11:36
Rio de Janeiro,30.5,algo de nubes,2026-03-28 11:37
Chía,15.63,nubes,2026-03-28 11:39
Chía,15.63,nubes,2026-03-28 11:43
Chía,15.63,nubes,2026-03-28 11:46
Cajicá,19.03,nubes,2026-03-28 11:47
Madrid,15.11,cielo claro,2026-03-28 11:49
Bogota,14.64,nubes,2026-03-28 11:50
Chía,15.13,nubes,2026-03-28 11:54
Chía,15.13,nubes,2026-03-28 11:55
